# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-15T00:00:00.0
# Date end (ISO 8601): 2022-07-16T00:00:00.0
# Latitude (positive North, ISO 19115): 41.8900
# Longitude (positive East, ISO 19115): 12.4900
# Altitude (m): 39.00
# Time reference: True Solar Time (TST)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-17T06:00:00.0/2022-06-17T07:00:00.0;466.8002;291.0015;196.3075;94.6940;547.7341;275.8200;192.6189;83.2011;536.4843;1.0000
2022-06-17T07:00:00.0/2022-06-17T08:00:00.0;693.4592;478.6926;358.2288;120.4638;678.8236;464.1225;359.2290;104.8934;680.5216;1.0000
2022-06-17T08:00:00.0/2022-06-17T09:00:00.0;896.6732;653.3247;516.0779;137.2468;758.1541;641.8699;521.2871;120.5829;765.7035;1.0000
2022-06-17T09:00:00.0/2022-06-17T10:00:00.0;1062.5944;798.3231;650.1514;148.1718;806.6996;791.8381;661.5309;130.3072;820.7697;1.0000
2022-06-17T10:00:00.0/2022-06-17T11:00:00.0;1179.9163;900.5654;741.9274;158.6380;829.3853;883.4879;718.5259;164.9619;804.1727;1.0000
2022-06-17T11:00:00.0/2022-06-17T12:00:00.0;1240.6454;952.5806;784.7997;167.7809;834.4422;920.6424;713.8189;206.8235;758.6702;1.0000
2022-06-17T12:00:00.0/2022-06-17T13:00:00.0;1240.6449;950.7808;777.5998;173.1810;826.7485;915.1948;691.8577;223.3371;735.4303;1.0000
2022-06-17T13:00:00.0/2022-06-17T14:00:00.0;1179.9180;893.7794;718.5970;175.1824;803.1544;772.8216;526.1474;246.6742;583.6246;1.0000
2022-06-17T14:00:00.0/2022-06-17T15:00:00.0;1062.6061;787.1055;614.3054;172.8002;762.0031;329.1099;13.2291;315.8808;15.5691;1.0000
2022-06-17T15:00:00.0/2022-06-17T16:00:00.0;896.7077;639.5163;475.7909;163.7254;698.5587;302.2768;8.4008;293.8760;13.3412;1.0000
2022-06-17T16:00:00.0/2022-06-17T17:00:00.0;693.5319;464.7819;322.2023;142.5796;610.0436;232.1743;4.1917;227.9826;7.0739;1.0000
2022-06-17T17:00:00.0/2022-06-17T18:00:00.0;466.9278;278.9798;170.2677;108.7121;473.8233;159.6175;13.4746;146.1429;45.5404;1.0000
2022-06-17T18:00:00.0/2022-06-17T19:00:00.0;232.3401;108.3487;48.4387;59.9101;252.2935;92.5931;29.8908;62.7024;153.4560;1.0000
2022-06-17T19:00:00.0/2022-06-17T20:00:00.0;30.1335;8.8209;1.5265;7.2943;23.8107;6.4939;0.0000;6.4939;0.0000;1.0000
2022-06-17T20:00:00.0/2022-06-17T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T21:00:00.0/2022-06-17T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T22:00:00.0/2022-06-17T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-17T23:00:00.0/2022-06-18T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T00:00:00.0/2022-06-18T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T01:00:00.0/2022-06-18T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T02:00:00.0/2022-06-18T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T03:00:00.0/2022-06-18T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T04:00:00.0/2022-06-18T05:00:00.0;30.2154;10.3566;3.3351;7.0215;52.9551;7.9588;0.7770;7.1817;9.8006;1.0000
2022-06-18T05:00:00.0/2022-06-18T06:00:00.0;232.4837;124.7349;76.4361;48.2988;407.0171;113.0203;68.3979;44.6224;355.4488;1.0000
2022-06-18T06:00:00.0/2022-06-18T07:00:00.0;467.0537;306.4649;228.2463;78.2186;637.8616;289.8734;222.2922;67.5812;620.4999;1.0000
2022-06-18T07:00:00.0/2022-06-18T08:00:00.0;693.6282;496.5535;398.4684;98.0851;755.4667;480.0206;394.2179;85.8027;747.2556;1.0000
2022-06-18T08:00:00.0/2022-06-18T09:00:00.0;896.7672;671.3383;558.9713;112.3670;821.2332;657.6813;557.2255;100.4559;818.5333;1.0000
2022-06-18T09:00:00.0/2022-06-18T10:00:00.0;1062.6273;815.7233;693.0886;122.6347;859.9200;806.8428;696.5195;110.3232;864.1146;1.0000
2022-06-18T10:00:00.0/2022-06-18T11:00:00.0;1179.9062;918.4384;788.0928;130.3456;880.8449;912.3694;795.8670;116.5024;889.5139;1.0000
2022-06-18T11:00:00.0/2022-06-18T12:00:00.0;1240.6123;971.4501;835.7773;135.6727;888.5129;966.5456;846.3880;120.1576;899.7894;1.0000
2022-06-18T12:00:00.0/2022-06-18T13:00:00.0;1240.6101;970.4138;831.9616;138.4522;884.4337;965.5776;843.3300;122.2476;896.5184;1.0000
2022-06-18T13:00:00.0/2022-06-18T14:00:00.0;1179.9022;913.9062;772.1004;141.8059;862.8433;908.3752;783.5123;124.8630;875.6016;1.0000
2022-06-18T14:00:00.0/2022-06-18T15:00:00.0;1062.6283;806.7511;663.7186;143.0325;823.2118;798.7603;673.0660;125.6942;834.7792;1.0000
2022-06-18T15:00:00.0/2022-06-18T16:00:00.0;896.7836;657.8535;519.3131;138.5404;762.4652;645.4839;524.5766;120.9073;770.1558;1.0000
2022-06-18T16:00:00.0/2022-06-18T17:00:00.0;693.6733;483.1875;364.1997;118.9878;690.3079;467.5812;364.1505;103.4307;689.9044;1.0000
2022-06-18T17:00:00.0/2022-06-18T18:00:00.0;467.1414;297.0264;207.7828;89.2436;580.5715;280.6093;202.1607;78.4486;563.7601;1.0000
2022-06-18T18:00:00.0/2022-06-18T19:00:00.0;232.6273;120.9469;69.7453;51.2016;371.1130;108.8293;60.2605;48.5689;310.5215;1.0000
2022-06-18T19:00:00.0/2022-06-18T20:00:00.0;30.3068;10.1027;2.9916;7.1111;47.2715;7.4827;0.4340;7.0487;5.3241;1.0000
2022-06-18T20:00:00.0/2022-06-18T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T21:00:00.0/2022-06-18T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T22:00:00.0/2022-06-18T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T23:00:00.0/2022-06-19T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T00:00:00.0/2022-06-19T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T01:00:00.0/2022-06-19T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T02:00:00.0/2022-06-19T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
